Disease,Protein
D103780,P18405
D103780,P59533
D103780,P0C0P6
D103780,O14827
D103780,Q99928
D103780,Q8TD84
D103780,P21917
D103780,O43847
D103780,Q16620
D103780,P21397
D103780,P08621
D103780,Q05940
D103780,P28223
D103780,O00222
D103780,Q9P2E7
D103780,Q9UBU2
D103780,P02787
D103780,P16220
D103780,P01229
D103780,Q13224
D103780,Q16555
D103780,Q9UD71
D103780,Q92820
D103780,P08908
D103780,P01213
D103780,P56645
D103780,Q9H0X9
D103780,Q15761
D103780,P12821
D103780,Q14678
D103780,P41146
D103780,Q9H1A4
D103780,Q6P4E1
D103780,P55290
D103780,P16442
D103780,P23560
D103780,Q9BQI5
D103780,P51828
D103780,P13569
D103780,P14780
D103780,P30531
D103780,Q8NFD2
D103780,O95622
D103780,P32297
D103780,Q13591
D103780,P16083
D103780,Q96SA4
D103780,O15516
D103780,Q8IZL9
D103780,P31645
D103780,Q9NZD8
D103780,Q96NT5
D103780,P30989
D103780,Q99720
D103780,P04637
D103780,P34972
D103780,Q14832
D103780,P41159
D103780,P18505
D103780,P81172
D103780,P08172
D103780,Q09472
D103780,P31644
D103780,P04278
D103780,Q9NYV7
D103780,Q99808
D103780,Q13451
D103780,P55287
D103780,O95264
D103780,P01303
D103780,Q92769
D103780,P00325
D103780,Q99733
D103780,P30990
D103780,P41143
D103780,P20396
D103780,Q9UHC6
D103780,Q92527
D103780,P55286
D103780,O43556
D103780,Q96KN3
D103780,Q9GZQ4
D103780,Q9C0B1
D103780,Q7LC44
D103780,P08319
D103780,P29322
D103780,P49146
D103780,Q9UKV8
D103780,P23975
D103780,P20813
D103780,Q96S53
D103780,P14136
D103780,P35251
D103780,P32238
D103780,Q9UL18
D103780,P17677
D103780,Q12879
D103780,Q32M78
D103780,Q9NRR1
D103780,P06850
D103780,P29401
D103780,P18510
D103780,Q9UI15
D103780,P14416
D103780,Q14114
D103780,P01189
D103780,P21964
D103780,Q05901
D103780,P28472
D103780,P15104
D103780,Q9NPG4
D103780,P40394
D103780,P06241
D103780,O75970
D103780,P34969
D103780,P49798
D103780,P01903
D103780,Q6W5P4
D103780,P01584
D103780,P07099
D103780,Q53GA4
D103780,O60284
D103780,P29371
D103780,P34998
D103780,Q13875
D103780,Q9NQX3
D103780,P42330
D103780,P15289
D103780,P41145
D103780,Q8IWV2
D103780,O60806
D103780,Q9NRA2
D103780,P39086
D103780,P55291
D103780,Q7Z3E1
D103780,P25103
D103780,P50135
D103780,P37840
D103780,Q15011
D103780,Q13901
D103780,Q9UI26
D103780,P21728
D103780,Q01959
D103780,P42898
D103780,Q96BI1
D103780,P46098
D103780,Q92481
D103780,P07101
D103780,Q8WYQ9
D103780,Q8N0W4
D103780,P10275
D103780,P21554
D103780,P35372
D103780,P01178
D103780,P02686
D103780,O60755
D103780,P00533
D103780,Q9NRP4
D103780,P28332
D104130,P31213
D104130,Q9NY46
D104130,P27169
D104130,Q92887
D104130,P25101
D104130,Q8IYB8
D104130,Q92743
D104130,P53634
D104130,P11473
D104130,P26651
D104130,P48449
D104130,P42898
D104130,P09874
D104130,P11926
D104130,Q8IUH4
D104130,O60885
D104130,P10275
D104130,P06850
D104130,P10644
D104130,O00220
D104130,O43593
D104130,P61586
D104300,P00734
D104300,P0DP25
D104300,P49768
D104300,P20138
D104300,Q30201
D104300,P62760
D104300,P06213
D104300,O14556
D104300,P27338
D104300,P10082
D104300,P17927
D104300,P15692
D104300,P05067
D104300,Q07812
D104300,P01375
D104300,P05198
D104300,Q92542
D104300,Q15392
D104300,Q92692
D104300,Q00059
D104300,P02649
D104300,P01034
D104300,Q9NZC7
D104300,P01344
D104300,P36544
D104300,Q30154
D104300,O14672
D104300,P21709
D104300,Q9UHI8
D104300,P22303
D104300,P02787
D104300,O96008
D104300,Q16555
D104300,O95185
D104300,P11717
D104300,O00499
D104300,Q8N0W5
D104300,P06276
D104300,P12821
D104300,O14863
D104300,P10636
D104300,P23560
D104300,Q9BZA7
D104300,P10909
D104300,P29474
D104300,P41159
D104300,P04156
D104300,Q96JQ5
D104300,Q9Y5K6
D104300,P37231
D104300,P01303
D104300,P56817
D104300,P10635
D104300,Q9P2A4
D104300,P49810
D104300,O14773
D104300,Q7LC44
D104300,Q92673
D104300,P14672
D104300,P06733
D104300,P08069
D104300,P16885
D104300,Q9NQ75
D104300,Q9UKV5
D104300,P06850
D104300,P04179
D104300,P09601
D104300,P25705
D104300,P01584
D104300,Q9NZC2
D104300,P10415
D104300,P00749
D104300,Q13492
D104300,Q8IZY2
D104300,P01023
D104300,P42898
D104300,P42574
D104300,O00264
D104300,Q9Y6A2
D104300,P02654
D104300,P03372
D104300,P17787
D104300,P49841
D104300,P78509
D104300,P05164
D104300,P60174
D104300,P14735
D104300,P05019
D104300,Q92835
D104300,Q6NXT4
D104300,P01308
D106400,P04264
D106400,P21802
D106400,P55000
D107320,P37231
D107320,P02749
D107550,P01189
D107650,P25101
D109100,P53621
D109100,P61769
D109100,P18564
D109100,P43320
D109100,P25445
D109100,P07202
D109100,P05231
D109100,P16284
D109100,P61812
D109100,P02776
D109100,Q13702
D109100,Q9GZX7
D109100,P00451
D109100,P18146
D109100,P02790
D109100,P22087
D109100,P05112
D109100,Q96EB6
D109100,P21580
D109100,P49682
D109100,Q9HAT2
D109100,P38646
D109100,P19438
D109100,P0C0L5
D109100,P00738
D109100,P09871
D109100,P02452
D109100,P04035
D109100,Q16552
D109100,P01033
D109100,P31994
D109100,P01266
D109100,P01579
D109100,P40763
D109100,P08727
D109100,P04179
D109100,P43489
D109100,P10747
D109100,Q9Y2R2
D109100,P10745
D109100,P02489
D109100,P29965
D109200,P31213
D109200,P06850
D109200,P61586
D109200,P10644
D109200,O00220
D109200,P42898
D109200,P09874
D109200,Q92887
D109200,Q8IUH4
D109200,Q8IYB8
D109200,O60885
D109200,O43593
D109200,P11473
D109200,P10275
D109200,P26651
D109350,P35354
D109350,P80404
D109350,P10145
D109350,P20366
D109543,P02786
D109543,Q13794
D109543,O75533
D109543,Q9NUX5
D109543,Q16769
D109543,P41182
D109543,Q15306
D109543,Q01081
D109543,Q969Q4
D109543,P10415
D109543,Q13489
D109543,P05231
D109543,Q13342
D109543,Q01130
D109543,P04637
D109543,P43405
D109543,P35354
D109543,O94887
D109543,Q92547
D109543,Q9UJU2
D109543,Q9Y6Q6
D109543,Q9BZL6
D109543,Q15696
D109543,P06746
D109543,P01106
D109543,P62841
D109543,Q96LC9
D109543,P11473
D109543,Q13362
D109543,Q08999
D109543,Q99572
D109543,Q9P2W6
D109543,P42336
D109543,Q13315
D109543,P13612
D109543,P42898
D109543,O14788
D109543,Q9NUZ1
D109543,P59901
D109543,O00221
D109543,O14980
D109543,O43908
D109543,P16885
D109543,P06127
D109543,P15056
D109543,Q9UHD0
D109543,Q9UKT9
D109543,Q9BZB8
D109543,Q06187
D109543,P24385
D109800,O15327
D109800,P02786
D109800,O15151
D109800,Q13489
D109800,Q8WZ42
D109800,Q8NER1
D109800,P09919
D109800,P19971
D109800,P35354
D109800,Q13029
D109800,P04731
D109800,Q9ULH1
D109800,P38936
D109800,P24043
D109800,Q14674
D109800,Q9H792
D109800,P06746
D109800,P48431
D109800,P06400
D109800,Q9BZK7
D109800,Q14683
D109800,P22607
D109800,Q9Y6A5
D109800,P11245
D109800,Q13315
D109800,P30049
D109800,P01574
D109800,P18858
D109800,Q93009
D109800,P12830
D109800,Q8TD08
D109800,P09211
D109800,O43708
D109800,A6XGL0
D109800,O14686
D109800,P18074
D109800,P01116
D109800,P01375
D109800,Q8TD26
D109800,P01112
D109800,P16662
D109800,P08253
D109800,P21860
D109800,O15347
D109800,P24593
D109800,Q8NH09
D109800,O15550
D109800,Q92692
D109800,O95936
D109800,P25445
D109800,Q8N3U4
D109800,P16435
D109800,P18440
D109800,Q8NEZ4
D109800,Q9NS23
D109800,P60568
D109800,Q92731
D109800,P10145
D109800,P48454
D109800,P54764
D109800,P12931
D109800,Q9Y666
D109800,O15360
D109800,P61371
D109800,Q9HBK9
D109800,Q8IU99
D109800,P16035
D109800,P22303
D109800,Q92574
D109800,O14497
D109800,O75376
D109800,Q96ID5
D109800,P07203
D109800,Q92820
D109800,P15559
D109800,P08151
D109800,Q04721
D109800,P02795
D109800,P42345
D109800,P82970
D109800,P56524
D109800,P09104
D109800,P14780
D109800,Q9UH17
D109800,P35030
D109800,P15144
D109800,Q13887
D109800,Q9P2R3
D109800,P04637
D109800,P31269
D109800,Q96KA5
D109800,Q5JS13
D109800,Q09472
D109800,A6NCI4
D109800,P41440
D109800,P17936
D109800,Q03164
D109800,P51587
D109800,P43362
D109800,O14746
D109800,Q9UKV5
D109800,P13584
D109800,P25713
D109800,O43653
D109800,P04179
D109800,P46531
D109800,Q12830
D109800,Q92889
D109800,Q96JB6
D109800,Q3ZCQ2
D109800,Q08397
D109800,Q76L83
D109800,P24864
D109800,Q92793
D109800,P11940
D109800,P09488
D109800,P01106
D109800,Q96AC1
D109800,Q8N3Y1
D109800,Q00597
D109800,Q9H4Y5
D109800,Q8NDV3
D109800,Q8N726
D109800,P42898
D109800,Q92482
D109800,O14594
D109800,P03372
D109800,P49721
D109800,P05164
D109800,P08779
D109800,P05019
D109800,P00533
D109800,Q8IZ57
D109800,P01563
D109800,Q92560
D109800,P61586
D110100,P58012
D110100,P63261
D110100,Q96JM2
D110100,P23759
D113610,Q8NF91
D113610,Q99447
D113610,Q5TBB1
D113610,O15040
D113610,P33897
D113610,Q9Y5W7
D113610,P51608
D113610,P35251
D113610,Q9UQD0
D113610,P46776
D114480,P04040
D114480,P07741
D114480,Q14CX7
D114480,P62750
D114480,Q15828
D114480,Q92823
D114480,Q86Y82
D114480,P12882
D114480,Q7Z7G8
D114480,O15399
D114480,P11532
D114480,Q5T4D3
D114480,Q9Y4K0
D114480,Q07001
D114480,Q13523
D114480,Q9UJV8
D114480,P09919
D114480,Q13948
D114480,A8MVW5
D114480,P11166
D114480,Q9UI08
D114480,Q03112
D114480,Q99728
D114480,O15540
D114480,Q9BT23
D114480,Q9UNQ0
D114480,Q14134
D114480,Q9UQ52
D114480,P42338
D114480,O60656
D114480,Q8IVM8
D114480,Q7Z4V0
D114480,Q8NC60
D114480,P07996
D114480,Q96J42
D114480,Q13206
D114480,Q7Z628
D114480,P05387
D114480,Q04771
D114480,Q9C009
D114480,Q76G19
D114480,O43186
D114480,P31749
D114480,Q9H2R5
D114480,O95259
D114480,Q9Y238
D114480,P50416
D114480,Q9BX63
D114480,Q8IVL5
D114480,P25942
D114480,O14686
D114480,P01116
D114480,Q5H9T9
D114480,P05412
D114480,Q9UKZ4
D114480,Q6ZMY6
D114480,P40763
D114480,P08253
D114480,P15172
D114480,P51114
D114480,Q6ZMY3
D114480,P82650
D114480,O14668
D114480,P25963
D114480,P24385
D114480,O95988
D114480,Q6ZWJ1
D114480,Q5VUA4
D114480,Q9NVA1
D114480,Q9H4A3
D114480,O95936
D114480,P48730
D114480,P05231
D114480,Q16678
D114480,P52701
D114480,Q8IY85
D114480,O96017
D114480,O00299
D114480,Q86YN6
D114480,Q8WW24
D114480,Q8N6D2
D114480,O43520
D114480,P10588
D114480,Q8TC71
D114480,O75923
D114480,Q9HC57
D114480,Q92731
D114480,P10145
D114480,Q96Q35
D114480,O75330
D114480,P06744
D114480,Q99712
D114480,Q9UJF2
D114480,Q01546
D114480,P55056
D114480,P14207
D114480,Q9UIM3
D114480,Q5T4F7
D114480,Q9Y253
D114480,O14827
D114480,Q9BZ11
D114480,Q9Y2J2
D114480,P09238
D114480,P21397
D114480,P22303
D114480,P23771
D114480,Q5SYB0
D114480,Q9Y6X0
D114480,Q86WI3
D114480,Q8IYK4
D114480,Q8NEG4
D114480,P13797
D114480,Q9Y3D9
D114480,P01100
D114480,P54646
D114480,P12272
D114480,Q92903
D114480,Q9NVX2
D114480,Q8IVH2
D114480,Q13609
D114480,Q01094
D114480,Q9NX61
D114480,P02751
D114480,Q9HBL0
D114480,P42345
D114480,Q9BYZ2
D114480,O15427
D114480,Q14240
D114480,A6NED2
D114480,P78318
D114480,Q9UH17
D114480,P55042
D114480,P13726
D114480,Q5TGL8
D114480,Q96A72
D114480,Q9UNF1
D114480,Q9NS71
D114480,P08670
D114480,P52565
D114480,Q14526
D114480,Q9UJG1
D114480,P55265
D114480,Q6NZI2
D114480,P02743
D114480,P41159
D114480,Q96JA3
D114480,Q86W28
D114480,Q8WUM0
D114480,Q6P4Q7
D114480,P52954
D114480,Q9UBP5
D114480,Q9Y2K2
D114480,P35052
D114480,P55010
D114480,P54315
D114480,Q8WUI4
D114480,P43358
D114480,Q9UN86
D114480,O43663
D114480,P18283
D114480,Q9Y219
D114480,Q96GM5
D114480,P51587
D114480,Q14574
D114480,P04899
D114480,O14746
D114480,Q9UGF7
D114480,Q08431
D114480,P62241
D114480,Q9NR61
D114480,Q3LI63
D114480,Q8WY21
D114480,Q8N6Y1
D114480,P25713
D114480,Q9Y2R9
D114480,Q99527
D114480,P46531
D114480,Q9NRP2
D114480,Q00987
D114480,Q9UBC3
D114480,P21802
D114480,O95996
D114480,Q03154
D114480,Q99996
D114480,Q9Y5Y3
D114480,Q96GQ5
D114480,P10415
D114480,Q8N428
D114480,P62736
D114480,Q9Y5E8
D114480,Q86UE3
D114480,Q96QU6
D114480,P56537
D114480,Q07075
D114480,P19447
D114480,Q14469
D114480,Q5UIP0
D114480,Q5SY80
D114480,Q16280
D114480,P04049
D114480,P35222
D114480,Q9UMF0
D114480,P52655
D114480,Q14789
D114480,P42224
D114480,O95479
D114480,Q6UXB0
D114480,P35638
D114480,P35637
D114480,Q8NF91
D114480,Q13291
D114480,Q13153
D114480,Q5JWR5
D114480,P15090
D114480,Q3KNW5
D114480,P62805
D114480,Q7Z4G4
D114480,Q9BU23
D114480,P02746
D114480,Q6UXV0
D114480,Q8WYQ9
D114480,P16949
D114480,P12107
D114480,P52948
D114480,Q53EL6
D114480,Q86U86
D114480,O43283
D114480,P56180
D114480,P55317
D114480,Q969H0
D114480,Q494X3
D114480,O75489
D114480,P51946
D114480,O15303
D114480,A2RTY3
D114480,Q8N2M8
D114480,Q9NYC9
D114480,Q96RK0
D114480,P04233
D114480,Q9Y2E4
D114480,O95163
D114480,O15534
D114480,Q96JB2
D114480,Q92633
D114480,O15151
D114480,P78381
D114480,Q86VP1
D114480,O60229
D114480,Q6ZNL6
D114480,Q9UKP6
D114480,Q9H582
D114480,Q86UE4
D114480,O43897
D114480,Q32MZ4
D114480,Q9BWV1
D114480,Q7Z7A3
D114480,P35523
D114480,P32302
D114480,Q16352
D114480,Q86XE0
D114480,Q99489
D114480,Q5TH74
D114480,Q7Z6R9
D114480,Q9Y6N8
D114480,P11388
D114480,O43240
D114480,P16403
D114480,Q9NZC9
D114480,O94892
D114480,Q9NZL6
D114480,Q04726
D114480,P48357
D114480,Q8NFC6
D114480,Q04206
D114480,B2CW77
D114480,Q9NQ87
D114480,Q14563
D114480,P11245
D114480,Q7Z5U6
D114480,Q8TDY2
D114480,Q9H204
D114480,O14733
D114480,Q5T1V6
D114480,P12643
D114480,O94907
D114480,P84077
D114480,Q96P31
D114480,P09211
D114480,Q9BYD1
D114480,P48145
D114480,Q96PL1
D114480,P54760
D114480,P61073
D114480,Q9NU02
D114480,Q7L2H7
D114480,P01112
D114480,P05093
D114480,Q8N0U7
D114480,P24534
D114480,P06401
D114480,Q86U38
D114480,P08575
D114480,Q8TEA1
D114480,Q702N8
D114480,O75554
D114480,Q15596
D114480,P35240
D114480,Q13131
D114480,O15131
D114480,Q13625
D114480,P61218
D114480,Q13769
D114480,Q92692
D114480,Q52LW3
D114480,Q8N9V2
D114480,Q9P217
D114480,Q96PN7
D114480,Q96L93
D114480,O15315
D114480,Q9NWM0
D114480,Q9NQ66
D114480,Q8NDI1
D114480,Q9BXB4
D114480,P52790
D114480,Q8N158
D114480,O76061
D114480,Q9H3H5
D114480,P16104
D114480,Q96ND0
D114480,Q3LI58
D114480,Q9P283
D114480,Q14993
D114480,Q8N6D5
D114480,Q9BXX3
D114480,Q9H9B1
D114480,P13497
D114480,Q9UHI8
D114480,Q92878
D114480,Q15334
D114480,Q17RS7
D114480,Q14451
D114480,P03956
D114480,P14902
D114480,O00744
D114480,Q9H5I1
D114480,O14497
D114480,Q8TBZ6
D114480,Q9BXY4
D114480,O14944
D114480,Q9UJX4
D114480,Q52LC2
D114480,Q99758
D114480,Q9HCI5
D114480,Q13796
D114480,Q9UQC9
D114480,Q96K58
D114480,O43543
D114480,Q96N20
D114480,P15559
D114480,Q9NWU1
D114480,P08151
D114480,P01579
D114480,Q96BR1
D114480,P50851
D114480,Q8TCB7
D114480,Q96SI9
D114480,P51970
D114480,Q02952
D114480,P05162
D114480,Q13480
D114480,P14780
D114480,P17987
D114480,Q9BYD2
D114480,Q86SE5
D114480,Q5SRI9
D114480,P16083
D114480,Q14790
D114480,P04141
D114480,P08684
D114480,Q9Y221
D114480,Q8IWU5
D114480,Q03135
D114480,P50583
D114480,P49406
D114480,Q2VPK5
D114480,Q5JTV8
D114480,O43390
D114480,Q12772
D114480,Q96KA5
D114480,Q9NZM3
D114480,Q92502
D114480,P38398
D114480,P51168
D114480,P15514
D114480,P51841
D114480,Q8IY92
D114480,P04075
D114480,Q9NPQ8
D114480,P50281
D114480,P42773
D114480,Q8IWX7
D114480,P14174
D114480,O95528
D114480,O15055
D114480,O14920
D114480,Q96P16
D114480,P23528
D114480,Q5TEJ8
D114480,Q9BXS5
D114480,P45985
D114480,Q99798
D114480,P27918
D114480,Q9C0B1
D114480,P48048
D114480,P46013
D114480,O15350
D114480,P11168
D114480,P06733
D114480,Q96HF1
D114480,Q9NV64
D114480,P48169
D114480,Q9UQ84
D114480,Q6P3W2
D114480,Q8N427
D114480,Q70E73
D114480,P17302
D114480,Q07973
D114480,Q9NP99
D114480,Q8N136
D114480,Q96PC5
D114480,P21964
D114480,P04179
D114480,P60484
D114480,P0C025
D114480,Q9Y4F1
D114480,P04818
D114480,Q9UBF1
D114480,Q8NCR0
D114480,P35670
D114480,Q9C0F3
D114480,P36969
D114480,Q01484
D114480,Q13797
D114480,P21333
D114480,P35249
D114480,Q5T4S7
D114480,Q9NP60
D114480,Q96GV9
D114480,O60934
D114480,P57103
D114480,Q96S79
D114480,Q07955
D114480,Q96BT7
D114480,P59025
D114480,Q07021
D114480,P24864
D114480,P49593
D114480,P43246
D114480,Q9H165
D114480,P04196
D114480,O96028
D114480,O14757
D114480,P41220
D114480,Q9Y5J3
D114480,Q9Y4L5
D114480,O15205
D114480,P49959
D114480,P11940
D114480,Q9Y281
D114480,P11511
D114480,Q02809
D114480,Q9NP61
D114480,Q8TDB6
D114480,Q6ZMV9
D114480,Q9HCS4
D114480,Q9NRM2
D114480,Q92844
D114480,P11474
D114480,Q92911
D114480,P08183
D114480,Q15027
D114480,Q99570
D114480,Q9BQG1
D114480,P67936
D114480,O95832
D114480,P53804
D114480,Q05469
D114480,O00461
D114480,Q16270
D114480,O43505
D114480,P10275
D114480,P03372
D114480,P07093
D114480,Q8TAP9
D114480,P55084
D114480,Q00341
D114480,Q9UJC3
D114480,Q53EP0
D114480,P05019
D114480,P01563
D114480,P15153
D114480,Q9Y251
D114480,O75602
D114480,Q92560
D114480,Q9H813
D114480,Q16625
D114480,Q99437
D114480,O95167
D114480,Q99707
D114480,O00762
D114480,P22301
D114480,Q9BY76
D114480,P04798
D114480,P02786
D114480,O15327
D114480,Q15569
D114480,Q9Y2X9
D114480,Q7L1T6
D114480,Q5SZL2
D114480,P51812
D114480,P33527
D114480,Q9H9T3
D114480,P08473
D114480,Q16877
D114480,O43678
D114480,Q8WYB5
D114480,Q8NEY8
D114480,P43268
D114480,P78556
D114480,P04085
D114480,Q15181
D114480,P07333
D114480,Q6UXG2
D114480,Q9UJU2
D114480,P24043
D114480,P42229
D114480,O75691
D114480,P01133
D114480,P22307
D114480,O15392
D114480,O14791
D114480,Q86VS8
D114480,P35579
D114480,P06400
D114480,P11387
D114480,Q12805
D114480,Q5T2W1
D114480,P24530
D114480,P48634
D114480,Q14686
D114480,P42336
D114480,Q9UPN3
D114480,Q04671
D114480,Q68CQ1
D114480,P13639
D114480,Q13315
D114480,P09874
D114480,Q14192
D114480,Q99466
D114480,P30518
D114480,P12830
D114480,P05787
D114480,Q9HB58
D114480,P50225
D114480,Q9Y6Q9
D114480,P06396
D114480,Q7Z7M9
D114480,P46527
D114480,P02533
D114480,O43184
D114480,Q07812
D114480,P55073
D114480,Q7RTR0
D114480,P05783
D114480,Q7Z5M8
D114480,Q6NUQ1
D114480,P01375
D114480,P16422
D114480,Q13003
D114480,Q86YD3
D114480,Q07325
D114480,Q9UBY0
D114480,Q9HBT6
D114480,P19235
D114480,Q92506
D114480,Q9NVP1
D114480,P05120
D114480,Q9UKG1
D114480,Q8N3F8
D114480,Q8N474
D114480,P35659
D114480,O43295
D114480,O43157
D114480,P24557
D114480,P16157
D114480,Q9Y2W7
D114480,Q9NTX9
D114480,Q53FA7
D114480,Q9UIU6
D114480,Q9NUT2
D114480,P35232
D114480,Q9NZ52
D114480,Q6KC79
D114480,P47712
D114480,O94956
D114480,Q9NXL2
D114480,Q9Y256
D114480,Q8IUC6
D114480,Q6PID8
D114480,Q9NTK5
D114480,Q7Z589
D114480,Q9UBS0
D114480,Q15025
D114480,Q96AQ2
D114480,O14672
D114480,P22888
D114480,Q9H8V3
D114480,Q9BZS1
D114480,O75369
D114480,O00470
D114480,Q02388
D114480,P11362
D114480,P00738
D114480,Q13873
D114480,Q96B67
D114480,P10826
D114480,P04626
D114480,P20042
D114480,Q13526
D114480,Q15788
D114480,Q9Y345
D114480,P10599
D114480,Q13023
D114480,Q9Y3Q8
D114480,Q14765
D114480,Q13445
D114480,P35869
D114480,Q96T51
D114480,Q9BRK4
D114480,Q96LR4
D114480,O43365
D114480,Q04721
D114480,P43487
D114480,P35575
D114480,Q496Y0
D114480,Q96L08
D114480,P78504
D114480,Q9H0Y0
D114480,P04424
D114480,Q15846
D114480,P78363
D114480,Q8N895
D114480,Q5F1R6
D114480,O00571
D114480,O43347
D114480,O00591
D114480,P48643
D114480,Q9HC10
D114480,O15530
D114480,Q9HCE0
D114480,Q13795
D114480,P00519
D114480,O95994
D114480,A6NM11
D114480,O43823
D114480,P04637
D114480,P34972
D114480,Q9NTW7
D114480,Q8N328
D114480,Q86W24
D114480,P62081
D114480,P25101
D114480,P17661
D114480,Q14956
D114480,O75340
D114480,Q9H1U9
D114480,Q9Y6D5
D114480,P43355
D114480,Q8NC42
D114480,Q03014
D114480,O15119
D114480,P11473
D114480,Q9BWX1
D114480,P40692
D114480,Q99933
D114480,P10635
D114480,P22732
D114480,Q86UP2
D114480,O14493
D114480,O15269
D114480,Q92673
D114480,O60237
D114480,Q96PB8
D114480,Q9UNS1
D114480,Q9HCE3
D114480,P98179
D114480,P08069
D114480,Q96RD6
D114480,P61978
D114480,P30044
D114480,Q9UKV5
D114480,Q9UIF7
D114480,P55107
D114480,P02771
D114480,P22460
D114480,Q96EY9
D114480,P14866
D114480,Q93034
D114480,P35658
D114480,Q9GZU1
D114480,Q06609
D114480,P35968
D114480,Q9NRK6
D114480,P49327
D114480,P10398
D114480,O75771
D114480,Q9H4K1
D114480,P21359
D114480,Q9Y4C1
D114480,Q9Y2I1
D114480,P07195
D114480,Q92597
D114480,O00519
D114480,P05549
D114480,O95206
D114480,Q8WY54
D114480,P41970
D114480,Q13813
D114480,Q96GP6
D114480,P31941
D114480,P31751
D114480,Q9Y606
D114480,P13647
D114480,Q9BRG2
D114480,Q16665
D114480,Q9BYB4
D114480,Q66K14
D114480,Q9NRD0
D114480,Q13509
D114480,P49619
D114480,P20827
D114480,Q9NP58
D114480,Q9UM01
D114480,Q8TE59
D114480,O00548
D114480,Q03468
D114480,O15520
D114480,Q00056
D114480,P62899
D114480,O60494
D114480,Q86UW6
D114480,Q8NFY9
D114480,Q8N726
D114480,O14965
D114480,Q9NR12
D114480,Q9NWS8
D114480,P28845
D114480,Q9UJY5
D114480,P37275
D114480,O43272
D114480,O15391
D114480,P14859
D114480,Q14019
D114480,Q8IZ69
D114480,Q96SB8
D114480,P11487
D114480,Q8NCM8
D114480,Q5MCW4
D114480,Q13007
D114480,Q9BXR6
D114480,Q8WWN8
D114480,P23381
D114480,Q01959
D114480,Q06187
D114480,Q7L7V1
D114480,P10589
D114480,P30260
D114480,Q96EF0
D114480,O15056
D114480,P62753
D114480,P17030
D114480,Q13433
D114480,P47989
D114480,Q13002
D114480,Q86YC2
D114480,P55210
D114480,P33402
D114480,P48307
D114480,Q96T58
D114480,Q504Y0
D114480,P35354
D114480,P22087
D114480,O94778
D114480,O43818
D114480,Q8NBP5
