Drug,Disease
DB00273,D264120
DB00273,D300125
DB00273,D308350
DB00273,D605021
DB00275,D161900
DB00275,D608622
DB00277,D208550
DB00277,D210050
DB00277,D600807
DB00278,D188050
DB00279,D138800
DB00279,D140300
DB00279,D275000
DB00280,D115000
DB00281,D147530
DB00282,D102400
DB00282,D102500
DB00282,D114480
DB00282,D143880
DB00282,D166300
DB00282,D166710
DB00282,D167320
DB00282,D254500
DB00282,D276300
DB00284,D125850
DB00284,D125851
DB00284,D125853
DB00284,D600496
DB00285,D131300
DB00285,D143465
DB00285,D147530
DB00285,D164230
DB00286,D102500
DB00286,D114480
DB00286,D176807
DB00286,D215470
DB00286,D311360
DB00286,D601518
DB00287,D137750
DB00287,D137760
DB00287,D161900
DB00287,D601682
DB00289,D143465
DB00290,D109543
DB00290,D155600
DB00290,D155601
DB00290,D236000
DB00290,D247640
DB00290,D267730
DB00290,D273300
DB00295,D147530
DB00297,D147530
DB00302,D134430
DB00302,D134500
DB00302,D134510
DB00302,D134520
DB00302,D227300
DB00304,D131200
DB00304,D184700
DB00307,D254400
DB00307,D276300
DB00308,D607554
DB00308,D608583
DB00310,D161900
DB00310,D608622
DB00313,D104130
DB00313,D104300
DB00313,D125320
DB00313,D181500
DB00313,D239350
DB00313,D605055
DB00315,D157300
DB00316,D140600
DB00316,D145590
DB00316,D147530
DB00316,D157300
DB00316,D608088
DB00318,D140600
DB00318,D145590
DB00318,D608088
DB00320,D145590
DB00320,D157300
DB00320,D300125
DB00321,D147530
DB00321,D252320
DB00323,D168100
DB00323,D168600
DB00324,D278200
DB00325,D161900
DB00325,D608622
DB00327,D147530
DB00327,D608088
DB00328,D133690
DB00328,D140600
DB00328,D147530
DB00328,D157300
DB00328,D165720
DB00328,D208230
DB00328,D246400
DB00328,D263800
DB00328,D602522
DB00328,D607459
DB00328,D607850
DB00331,D125850
DB00331,D125851
DB00331,D125853
DB00331,D184700
DB00331,D600496
DB00332,D208550
DB00332,D210050
DB00332,D600807
DB00333,D147530
DB00334,D164230
DB00334,D181500
DB00334,D300494
DB00335,D110100
DB00335,D157700
DB00337,D233810
DB00337,D603165
DB00338,D109350
DB00338,D190310
DB00338,D304790
DB00338,D600263
DB00342,D147540
DB00343,D161900
DB00343,D179600
DB00343,D607554
DB00343,D608583
DB00343,D608622
DB00346,D147530
DB00346,D200170
DB00346,D600082
DB00350,D104130
DB00350,D161900
DB00350,D608622
DB00351,D109100
DB00351,D114480
DB00353,D157300
DB00354,D145590
DB00356,D147530
DB00357,D268320
DB00361,D236000
DB00363,D181500
DB00364,D109350
DB00364,D161900
DB00364,D190310
DB00366,D145590
DB00366,D147540
DB00367,D131200
DB00367,D184700
DB00368,D146500
DB00371,D145590
DB00371,D200170
DB00371,D601042
DB00373,D137750
DB00373,D137760
DB00373,D157300
DB00373,D161900
DB00373,D300125
DB00373,D601682
DB00373,D608622
DB00374,D161900
DB00374,D178600
DB00376,D168100
DB00379,D115000
DB00380,D208750
DB00380,D212112
DB00380,D212130
DB00380,D212350
DB00380,D225740
DB00381,D125310
DB00381,D145500
DB00381,D161900
DB00381,D179600
DB00381,D608320
DB00381,D608622
DB00382,D104300
DB00382,D125320
DB00382,D605055
DB00384,D203700
DB00384,D210050
DB00384,D215140
DB00384,D600351
DB00385,D109800
DB00387,D125320
DB00387,D168100
DB00387,D168600
DB00388,D137750
DB00388,D137760
DB00388,D145590
DB00388,D146500
DB00388,D147540
DB00388,D601682
DB00388,D608088
DB00390,D607554
DB00390,D608583
DB00393,D125310
DB00393,D601367
DB00394,D208550
DB00394,D600807
DB00397,D147540
DB00397,D264120
DB00397,D303110
DB00397,D601665
DB00397,D608088
DB00398,D114550
DB00398,D144700
DB00398,D188470
DB00398,D605839
DB00399,D102500
DB00399,D143880
DB00399,D167320
DB00399,D254500
DB00399,D276300
DB00399,D602080
DB00399,D605839
DB00401,D161900
DB00401,D179600
DB00401,D608622
DB00404,D252320
DB00407,D188050
DB00408,D181500
DB00412,D125850
DB00412,D125851
DB00412,D125853
DB00412,D600496
DB00413,D102300
DB00413,D125320
DB00413,D168100
DB00413,D168600
DB00414,D125850
DB00414,D125851
DB00414,D125853
DB00414,D600496
DB00419,D230800
DB00421,D104130
DB00421,D161900
DB00421,D215140
DB00421,D600351
DB00421,D604416
DB00421,D608622
DB00422,D143465
DB00424,D190310
DB00424,D200170
DB00424,D226150
DB00424,D260570
DB00428,D236000
DB00433,D145590
DB00433,D182830
DB00433,D225740
DB00433,D225755
DB00433,D260970
DB00433,D608033
DB00434,D113610
DB00434,D147540
DB00434,D157300
DB00434,D181500
DB00434,D218200
DB00434,D300125
DB00434,D312910
DB00434,D606703
DB00434,D606798
DB00436,D161900
DB00436,D215140
DB00436,D256370
DB00436,D600351
DB00436,D608622
DB00437,D310468
DB00437,D602068
DB00441,D114480
DB00441,D144700
DB00441,D605839
DB00443,D603165
DB00444,D109543
DB00444,D182280
DB00444,D223350
DB00444,D236000
DB00444,D247640
DB00444,D267730
DB00445,D114480
DB00445,D276300
DB00448,D109350
DB00448,D190310
DB00448,D600263
DB00449,D137750
DB00449,D137760
DB00449,D161900
DB00449,D601682
DB00451,D138800
DB00451,D140300
DB00451,D275000
DB00454,D147530
DB00457,D147530
DB00457,D157950
DB00457,D161900
DB00457,D179600
DB00457,D200170
DB00457,D600082
DB00457,D608622
DB00458,D143465
DB00458,D147530
DB00461,D140600
DB00461,D147530
DB00464,D192200
DB00465,D147530
DB00465,D308205
DB00468,D200170
DB00470,D109100
DB00471,D208550
DB00471,D210050
DB00471,D600807
DB00472,D131300
DB00472,D164230
DB00472,D181500
DB00472,D252320
DB00475,D103780
DB00475,D226150
DB00476,D147530
DB00476,D165199
DB00477,D145590
DB00477,D181500
DB00480,D254500
DB00481,D102500
DB00481,D114480
DB00481,D166710
DB00482,D135550
DB00482,D140600
DB00482,D147530
DB00482,D165720
DB00482,D175100
DB00482,D175505
DB00482,D208230
DB00482,D246470
DB00482,D607459
DB00482,D607850
DB00484,D137750
DB00484,D137760
DB00484,D161900
DB00484,D601682
DB00489,D607554
DB00489,D608583
DB00490,D104130
DB00490,D156190
DB00490,D165150
DB00490,D259050
DB00490,D300232
DB00491,D125850
DB00491,D125851
DB00491,D125853
DB00491,D600496
DB00492,D146255
DB00492,D161900
DB00492,D608622
DB00494,D168100
DB00494,D168600
DB00497,D147530
DB00499,D176807
DB00500,D140600
DB00500,D165720
DB00500,D208230
DB00500,D607459
DB00500,D607850
DB00501,D109350
DB00501,D190310
DB00501,D264120
DB00501,D304790
DB00502,D127750
DB00502,D137580
DB00502,D181500
DB00502,D182830
DB00508,D145590
DB00508,D147530
DB00514,D145590
DB00514,D608088
DB00515,D109800
DB00515,D133239
DB00515,D182280
DB00515,D236000
DB00515,D254500
DB00515,D256700
DB00515,D259500
DB00515,D273300
DB00515,D276300
DB00519,D146255
DB00519,D161900
DB00519,D608622
DB00521,D137750
DB00521,D161900
DB00521,D608622
DB00523,D148000
DB00524,D161900
DB00524,D215140
DB00524,D608622
DB00527,D147530
DB00530,D144700
DB00532,D104130
DB00533,D157300
DB00535,D166760
DB00535,D208550
DB00536,D113610
DB00536,D218200
DB00536,D312910
DB00537,D145590
DB00537,D166760
DB00537,D208550
DB00537,D258360
DB00537,D266600
DB00540,D143465
DB00540,D147530
DB00540,D252320
DB00541,D109543
DB00541,D194070
DB00541,D223350
DB00541,D236000
DB00541,D246470
DB00541,D247640
DB00541,D254500
DB00541,D256700
DB00541,D267730
DB00541,D268220
DB00541,D276300
DB00541,D601608
DB00541,D601626
DB00542,D146255
DB00542,D161900
DB00542,D608622
DB00544,D106400
DB00544,D114480
DB00544,D114500
DB00544,D137215
DB00544,D276300
DB00545,D252320
DB00545,D254200
DB00547,D233810
DB00548,D604416
DB00549,D208550
DB00550,D275000
DB00552,D276300
DB00554,D140600
DB00554,D165720
DB00554,D208230
DB00554,D607459
DB00554,D607850
DB00555,D181500
DB00555,D239350
DB00557,D145590
DB00557,D147530
DB00559,D161900
DB00559,D178600
DB00563,D109543
DB00563,D109800
DB00563,D114480
DB00563,D114500
DB00563,D133239
DB00563,D137215
DB00563,D182280
DB00563,D208920
DB00563,D223350
DB00563,D231090
DB00563,D233810
DB00563,D236000
DB00563,D246470
DB00563,D247640
DB00563,D254400
DB00563,D259500
DB00563,D267730
DB00563,D268220
DB00563,D273300
DB00563,D276300
DB00563,D601626
DB00564,D102300
DB00564,D104130
DB00564,D128101
DB00564,D165199
DB00564,D181500
DB00564,D190400
DB00569,D188050
DB00570,D114480
DB00570,D148000
DB00570,D188030
DB00570,D236000
DB00570,D254400
DB00570,D273300
DB00570,D276300
DB00571,D110100
DB00571,D115000
DB00571,D140850
DB00571,D157300
DB00571,D157700
DB00571,D161900
DB00571,D171300
DB00571,D190300
DB00571,D300125
DB00571,D608622
DB00572,D190310
DB00572,D226150
DB00573,D140600
DB00573,D147530
DB00573,D165720
DB00573,D208230
DB00573,D607459
DB00573,D607850
DB00575,D102300
DB00575,D137580
DB00575,D143465
DB00575,D147530
DB00575,D161900
DB00575,D171300
DB00575,D601042
DB00575,D607554
DB00575,D608622
DB00580,D140600
DB00580,D165720
DB00580,D208230
DB00580,D607459
DB00580,D607850
DB00583,D212140
DB00584,D146255
DB00584,D608622
DB00585,D109350
DB00585,D190310
DB00585,D304790
DB00585,D600263
DB00586,D106400
DB00586,D140600
DB00586,D147530
DB00586,D150600
DB00586,D165720
DB00586,D208230
DB00586,D308205
DB00586,D607459
DB00586,D607850
DB00588,D208550
DB00588,D600807
DB00590,D147530
DB00590,D161900
DB00590,D179600
DB00590,D200170
DB00590,D600082
DB00590,D608622
DB00591,D603165
DB00594,D161900
DB00594,D215140
DB00594,D608622
DB00596,D233810
DB00598,D110100
DB00598,D157700
DB00598,D161900
DB00598,D171300
DB00598,D608622
DB00603,D102500
DB00603,D131200
DB00603,D144700
DB00603,D605839
DB00604,D304790
DB00605,D133690
DB00605,D140600
DB00605,D147530
DB00605,D165720
DB00605,D175100
DB00605,D208230
DB00605,D607459
DB00605,D607850
DB00608,D181000
DB00611,D147530
DB00612,D110100
DB00612,D157700
DB00619,D131440
DB00619,D247640
DB00619,D276300
DB00619,D607685
DB00620,D104130
DB00620,D114580
DB00620,D147540
DB00620,D148100
DB00620,D152700
DB00620,D165199
DB00620,D173200
DB00620,D181000
DB00620,D188030
DB00620,D208550
DB00620,D223350
DB00622,D161900
DB00622,D608622
DB00623,D181500
DB00624,D114480
DB00624,D215470
DB00627,D144010
DB00627,D144650
DB00630,D102500
DB00630,D150600
DB00630,D166710
DB00630,D167320
DB00630,D602080
DB00631,D247640
DB00635,D109100
DB00635,D126200
DB00635,D143880
DB00635,D147540
DB00635,D152700
DB00635,D157300
DB00635,D181000
DB00635,D188030
DB00635,D205700
DB00635,D208550
DB00635,D208920
DB00635,D223350
DB00635,D233810
DB00635,D247640
DB00635,D254400
DB00635,D276300
DB00635,D304790
DB00635,D600351
DB00636,D144650
DB00637,D147540
DB00640,D194200
DB00641,D144010
DB00642,D276300
DB00644,D146110
DB00647,D147530
DB00651,D208550
DB00651,D210050
DB00651,D600807
DB00652,D147530
DB00653,D127350
DB00653,D189800
DB00653,D239350
DB00653,D248190
DB00654,D137750
DB00654,D137760
DB00654,D161900
DB00654,D601682
DB00655,D215470
DB00655,D311360
DB00657,D137580
DB00657,D145500
DB00657,D161900
DB00657,D608622
DB00659,D103780
DB00661,D115000
DB00661,D115195
DB00661,D157300
DB00661,D161900
DB00661,D200170
DB00661,D607554
DB00661,D608583
DB00661,D608622
DB00668,D137750
DB00668,D137760
DB00668,D147540
DB00668,D208550
DB00668,D600807
DB00668,D601682
DB00669,D157300
DB00669,D300125
DB00672,D125850
DB00672,D125851
DB00672,D125853
DB00672,D600496
DB00674,D104300
DB00674,D125320
DB00674,D605055
DB00675,D114480
DB00675,D174800
DB00678,D145500
DB00678,D146255
DB00678,D161900
DB00678,D608622
DB00679,D181500
DB00682,D107320
DB00682,D125310
DB00682,D540000
DB00682,D601367
DB00682,D607554
DB00682,D608583
DB00686,D147530
DB00687,D157700
DB00687,D252320
DB00691,D146255
DB00691,D161900
DB00691,D608622
DB00692,D155100
DB00692,D161900
DB00692,D171300
DB00692,D231200
DB00692,D273800
DB00692,D608622
DB00694,D148000
DB00694,D223350
DB00694,D247640
DB00694,D276300
DB00694,D601626
DB00695,D143880
DB00695,D146255
DB00695,D161900
DB00695,D166300
DB00695,D203700
DB00695,D210050
DB00695,D215140
DB00695,D256370
DB00695,D600351
DB00695,D608622
DB00696,D157300
DB00696,D300125
DB00697,D157300
DB00697,D160750
DB00697,D190400
DB00697,D200170
DB00697,D601042
DB00704,D103780
DB00706,D147530
DB00706,D200170
DB00706,D310468
DB00706,D600082
DB00707,D133239
DB00710,D102500
DB00710,D166710
DB00712,D140600
DB00712,D153880
DB00712,D165720
DB00712,D208230
DB00712,D607459
DB00712,D607850
DB00714,D168100
DB00714,D168600
DB00715,D131300
DB00715,D164230
DB00715,D252320
DB00716,D208550
DB00716,D600807
DB00717,D102500
DB00717,D131200
DB00717,D184700
DB00717,D215470
DB00717,D604416
DB00721,D147530
DB00722,D125310
DB00722,D146255
DB00722,D161900
DB00722,D608320
DB00722,D608622
DB00724,D106400
DB00727,D179600
DB00727,D189800
DB00731,D125850
DB00731,D125851
DB00731,D125853
DB00731,D600496
DB00733,D254200
DB00734,D137580
DB00734,D181500
DB00734,D182830
DB00734,D225740
DB00734,D225755
DB00734,D260970
DB00734,D300494
DB00734,D608033
DB00736,D109350
DB00736,D190310
DB00736,D600263
DB00741,D166760
DB00741,D233810
DB00744,D208550
DB00744,D600807
DB00745,D107650
DB00745,D126200
DB00745,D143465
DB00747,D107550
DB00747,D125320
DB00747,D168100
DB00747,D168600
DB00747,D190310
DB00747,D226150
DB00749,D140600
DB00749,D147530
DB00749,D165720
DB00749,D208230
DB00749,D607459
DB00749,D607850
DB00750,D147530
DB00754,D239350
DB00755,D145200
DB00755,D182000
DB00755,D276300
DB00755,D604416
DB00757,D145590
DB00758,D125310
DB00758,D540000
DB00758,D601367
DB00759,D600263
DB00759,D604416
DB00762,D114500
DB00762,D223350
DB00762,D246470
DB00762,D276300
DB00763,D275000
DB00765,D171300
DB00771,D191390
DB00771,D226150
DB00773,D182280
DB00773,D236000
DB00773,D273300
DB00773,D276300
DB00775,D608320
DB00776,D208700
DB00776,D267740
DB00776,D300491
DB00776,D600131
DB00776,D604827
DB00776,D607628
DB00776,D607631
DB00776,D607681
DB00776,D607682
DB00776,D608105
DB00783,D102500
DB00783,D114480
DB00783,D176807
DB00783,D215470
DB00783,D311360
DB00788,D133690
DB00788,D140600
DB00788,D145590
DB00788,D147530
DB00788,D150600
DB00788,D157300
DB00788,D165720
DB00788,D208230
DB00788,D252320
DB00788,D607459
DB00788,D607850
DB00790,D125310
DB00790,D146255
DB00790,D608320
DB00794,D121201
DB00794,D132090
DB00794,D132100
DB00794,D190300
DB00794,D190310
DB00794,D208700
DB00794,D267740
DB00794,D300491
DB00794,D600131
DB00794,D604827
DB00794,D607628
DB00794,D607631
DB00794,D607681
DB00794,D607682
DB00794,D608105
DB00795,D104130
DB00795,D266600
DB00796,D161900
DB00796,D608622
DB00800,D161900
DB00800,D608622
DB00804,D304790
DB00804,D600351
DB00806,D125310
DB00806,D188050
DB00806,D540000
DB00806,D601367
DB00808,D161900
DB00808,D215140
DB00808,D256370
DB00808,D600351
DB00808,D608622
DB00810,D125320
DB00810,D168100
DB00813,D147530
DB00814,D133690
DB00814,D140600
DB00814,D165720
DB00814,D208230
DB00814,D607459
DB00814,D607850
DB00816,D208550
DB00816,D210050
DB00816,D600807
DB00819,D147480
DB00819,D215140
DB00819,D239350
DB00819,D600351
DB00820,D161900
DB00820,D178600
DB00822,D103780
DB00829,D156000
DB00829,D601042
DB00831,D181500
DB00839,D125850
DB00839,D125851
DB00839,D125853
DB00839,D600496
DB00843,D104300
DB00843,D125320
DB00843,D605055
DB00844,D147530
DB00846,D233810
DB00848,D276300
DB00851,D155600
DB00851,D155601
DB00851,D236000
DB00851,D256700
DB00851,D268220
DB00851,D276300
DB00852,D145590
DB00852,D208550
DB00852,D600807
DB00852,D608088
DB00860,D126200
DB00860,D147540
DB00860,D215140
DB00860,D276300
DB00860,D304790
DB00860,D600351
DB00861,D140600
DB00861,D147530
DB00861,D165720
DB00861,D208230
DB00861,D607459
DB00861,D607850
DB00863,D109350
DB00863,D190310
DB00863,D304790
DB00864,D603165
DB00865,D264120
DB00865,D303110
DB00865,D601665
DB00868,D608088
DB00869,D137750
DB00869,D137760
DB00869,D161900
DB00869,D601682
DB00871,D208550
DB00871,D210050
DB00871,D600807
DB00876,D161900
DB00876,D608622
DB00880,D161900
DB00880,D203700
DB00880,D210050
DB00880,D215140
DB00880,D256370
DB00880,D600351
DB00880,D608622
DB00881,D146255
DB00881,D161900
DB00881,D608622
DB00882,D270960
DB00883,D109350
DB00883,D161900
DB00883,D178600
DB00883,D608320
DB00884,D102500
DB00884,D166710
DB00884,D167320
DB00884,D602080
DB00887,D146255
DB00887,D161900
DB00887,D166300
DB00887,D203700
DB00887,D210050
DB00887,D215140
DB00887,D256370
DB00887,D600351
DB00887,D608622
DB00889,D145590
DB00898,D147530
DB00899,D147530
DB00903,D161900
DB00903,D203700
DB00903,D210050
DB00903,D215140
DB00903,D256370
DB00903,D600351
DB00903,D608622
DB00904,D103780
DB00904,D145590
DB00904,D164230
DB00905,D137750
DB00905,D137760
DB00905,D161900
DB00905,D601682
DB00907,D147530
DB00907,D608088
DB00908,D115000
DB00908,D607554
DB00908,D608583
DB00909,D190300
DB00909,D208700
DB00909,D239350
DB00909,D267740
DB00909,D300491
DB00909,D600131
DB00909,D604827
DB00909,D607628
DB00909,D607631
DB00909,D607681
DB00909,D607682
DB00909,D608105
DB00912,D125850
DB00912,D125851
DB00912,D125853
DB00912,D600496
DB00915,D119500
DB00915,D126200
DB00915,D168100
DB00917,D231090
DB00918,D157300
DB00921,D147530
DB00924,D147530
DB00924,D157300
DB00924,D160750
DB00924,D200170
DB00924,D601042
DB00925,D171300
DB00927,D109350
DB00927,D190310
DB00927,D304790
DB00927,D600263
DB00928,D247200
DB00928,D258360
DB00929,D140600
DB00929,D190310
DB00933,D181500
DB00936,D106400
DB00936,D147530
DB00936,D604416
DB00937,D264120
DB00937,D601665
DB00938,D208550
DB00938,D600807
DB00939,D147530
DB00945,D107320
DB00945,D125310
DB00945,D140600
DB00945,D145590
DB00945,D147530
DB00945,D150600
DB00945,D152700
DB00945,D157300
DB00945,D165720
DB00945,D208230
DB00945,D601367
DB00945,D607459
DB00945,D607850
DB00947,D114480
DB00952,D157300
DB00953,D157300
DB00956,D147530
DB00956,D608088
DB00957,D131200
DB00957,D604416
DB00959,D109100
DB00959,D140600
DB00959,D147540
DB00959,D208550
DB00959,D276300
DB00960,D161900
DB00960,D608622
DB00963,D115645
DB00963,D212350
DB00966,D145500
DB00966,D161900
DB00966,D608622
DB00968,D161900
DB00968,D608622
DB00969,D260570
DB00975,D601367
DB00977,D102500
DB00977,D131200
DB00977,D184700
DB00977,D215470
DB00977,D311360
DB00977,D604416
DB00982,D601626
DB00982,D604416
DB00983,D208550
DB00983,D210050
DB00983,D600807
DB00987,D109543
DB00987,D223350
DB00987,D236000
DB00987,D246470
DB00987,D247640
DB00987,D267730
DB00987,D276300
DB00987,D601626
DB00988,D146255
DB00988,D161900
DB00988,D166300
DB00988,D310468
DB00989,D104300
DB00989,D125320
DB00989,D168100
DB00989,D605055
DB00990,D114480
DB00991,D140600
DB00991,D165720
DB00991,D208230
DB00991,D607459
DB00991,D607850
DB00993,D126200
DB00993,D152700
DB00993,D160300
DB00993,D181000
DB00993,D188030
DB00993,D208920
DB00993,D233810
DB00993,D254200
DB00993,D266600
DB00996,D102300
DB00996,D147530
DB00996,D157300
DB00996,D165199
DB00996,D190300
DB00996,D208700
DB00996,D267740
DB00996,D300491
DB00996,D600131
DB00996,D604827
DB00996,D607628
DB00996,D607631
DB00996,D607681
DB00996,D607682
DB00996,D608105
DB00997,D109800
DB00997,D114480
DB00997,D137215
DB00997,D188470
DB00997,D194070
DB00997,D211980
DB00997,D236000
DB00997,D247640
DB00997,D254500
DB00997,D256700
DB00997,D259500
DB00997,D268220
DB00997,D276300
DB00997,D601626
DB00998,D157300
DB00999,D102500
DB00999,D125700
DB00999,D161900
DB00999,D215140
DB00999,D600351
DB00999,D608622
DB01001,D208550
DB01001,D600807
DB01002,D147530
DB01003,D191390
DB01003,D208550
DB01003,D600807
DB01005,D144700
DB01005,D155600
DB01005,D155601
DB01005,D187950
DB01005,D263300
DB01005,D276300
DB01005,D605839
DB01006,D114480
DB01009,D140600
DB01009,D145590
DB01009,D165720
DB01009,D208230
DB01009,D607459
DB01009,D607850
DB01014,D266600
DB01016,D125850
DB01016,D125851
DB01016,D125853
DB01016,D600496
DB01017,D604416
DB01018,D143465
DB01018,D161900
DB01018,D608622
DB01019,D109350
DB01019,D157950
DB01020,D109350
DB01020,D608320
DB01023,D161900
DB01023,D179600
DB01023,D608622
DB01029,D125850
DB01029,D125851
DB01029,D125853
DB01029,D146255
DB01029,D161900
DB01029,D600496
DB01029,D608622
DB01030,D182280
DB01030,D276300
DB01033,D109543
DB01033,D151400
DB01033,D191390
DB01033,D247640
DB01033,D266600
DB01035,D115000
DB01035,D607554
DB01035,D608583
DB01039,D144010
DB01039,D144650
DB01041,D246300
DB01041,D254500
DB01043,D104300
DB01043,D125320
DB01043,D605055
DB01045,D246300
DB01050,D140600
DB01050,D145590
DB01050,D147530
DB01050,D150600
DB01050,D165720
DB01050,D208230
DB01050,D252320
DB01050,D607459
DB01050,D607850
DB01063,D181500
DB01064,D115000
DB01064,D208550
DB01064,D600807
DB01067,D125850
DB01067,D125851
DB01067,D125853
DB01067,D600496
DB01068,D102300
DB01068,D140600
DB01068,D165720
DB01068,D181500
DB01068,D208230
DB01068,D254770
DB01068,D254800
DB01068,D607459
DB01068,D607850
DB01069,D147540
DB01069,D608088
DB01070,D146255
DB01070,D241519
DB01073,D109543
DB01073,D151400
DB01073,D223350
DB01073,D236000
DB01073,D247640
DB01073,D267730
DB01073,D276300
DB01075,D145590
DB01075,D147540
DB01075,D608088
DB01076,D144010
DB01080,D308350
DB01080,D605021
DB01083,D264120
DB01083,D303110
DB01083,D601665
DB01085,D161900
DB01086,D147530
DB01086,D166760
DB01088,D145500
DB01088,D161900
DB01088,D178600
DB01088,D608622
DB01095,D144010
DB01098,D144010
DB01099,D114580
DB01099,D212050
DB01101,D114480
DB01101,D114500
DB01101,D137215
DB01101,D144700
DB01101,D176807
DB01101,D276300
DB01104,D131300
DB01104,D164230
DB01104,D252320
DB01105,D264120
DB01105,D303110
DB01105,D601665
DB01109,D125310
DB01109,D540000
DB01109,D601367
DB01110,D114580
DB01110,D212050
DB01113,D115000
DB01113,D179600
DB01113,D260570
DB01115,D161900
DB01115,D179600
DB01115,D608622
DB01118,D115000
DB01120,D125853
DB01122,D254200
DB01124,D125850
DB01124,D125851
DB01124,D125853
DB01124,D600496
DB01125,D607554
DB01128,D176807
DB01129,D109350
DB01129,D190310
DB01129,D600263
DB01132,D125850
DB01132,D125851
DB01132,D125853
DB01132,D600496
DB01133,D167320
DB01133,D602080
DB01136,D161900
DB01136,D607554
DB01136,D608622
DB01142,D147530
DB01142,D603165
DB01143,D276300
DB01148,D155100
DB01148,D231200
DB01148,D273800
DB01151,D143465
DB01151,D147530
DB01156,D143465
DB01156,D264120
DB01157,D109100
DB01161,D147530
DB01162,D147530
DB01162,D157950
DB01162,D161900
DB01162,D200170
DB01162,D600082
DB01162,D608622
DB01165,D166760
DB01165,D600263
DB01167,D114580
DB01167,D212050
DB01167,D258360
DB01167,D602068
DB01169,D276300
DB01170,D161900
DB01170,D608622
DB01173,D147530
DB01173,D157300
DB01173,D160750
DB01173,D200170
DB01174,D121200
DB01174,D121201
DB01174,D143500
DB01174,D190310
DB01174,D208085
DB01174,D218800
DB01174,D226150
DB01174,D237450
DB01174,D237500
DB01174,D608217
DB01175,D164230
DB01176,D145590
DB01177,D223350
DB01177,D247640
DB01177,D601626
DB01181,D109543
DB01181,D151400
DB01181,D236000
DB01181,D247640
DB01181,D273300
DB01181,D276300
DB01182,D607554
DB01185,D114480
